epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6095,1.5643,3.24363,1.55917,0.00422,0.66667,0.54124,0.38625,0.87593,2.99273,1.1265,0.00022864,0.00022864,0.00022864
2,22.9594,0.79128,2.04564,1.08026,0.00627,0.97619,0.63399,0.5194,0.78211,2.56512,1.12353,0.000462233,0.000462233,0.000462233
3,31.6583,0.75574,1.37317,1.04241,0.9106,0.43021,0.71872,0.50296,0.86325,2.08252,1.09517,0.000686206,0.000686206,0.000686206
4,38.7131,0.67833,1.10971,0.9989,0.95499,0.52996,0.79233,0.57689,0.7988,1.51105,1.13459,0.000900559,0.000900559,0.000900559
5,45.4356,0.67566,1.058,1.01305,0.96742,0.21839,0.51509,0.38894,0.7603,2.02441,1.08256,0.00110529,0.00110529,0.00110529
6,54.6872,0.63211,0.96929,0.9839,1,0.29727,0.4697,0.37225,0.79175,1.46232,1.06145,0.00128753,0.00128753,0.00128753
7,60.9682,0.64413,0.97164,0.98499,0.95103,0.34702,0.67913,0.5208,0.88459,1.84322,1.13737,0.00125923,0.00125923,0.00125923
8,70.1871,0.6299,0.93006,0.98012,0.62092,0.54762,0.73875,0.56944,0.92944,1.36309,1.18161,0.00123094,0.00123094,0.00123094
9,76.8131,0.62071,0.90408,0.99802,0.85567,0.61027,0.71823,0.53882,0.88562,1.08999,1.06926,0.00120265,0.00120265,0.00120265
10,83.351,0.61006,0.85544,0.97248,0.94645,0.7381,0.77218,0.57377,0.72958,1.09297,1.07619,0.00117435,0.00117435,0.00117435
11,92.4096,0.5887,0.78514,0.96904,0.92146,0.92857,0.96113,0.78341,0.62835,0.74043,0.99794,0.00114606,0.00114606,0.00114606
12,98.3299,0.57917,0.76795,0.9692,0.89065,0.91771,0.96215,0.79762,0.61963,0.75943,0.97618,0.00111776,0.00111776,0.00111776
13,107.964,0.57081,0.74179,0.95089,0.969,0.92857,0.97763,0.77836,0.59799,0.74305,0.99043,0.00108947,0.00108947,0.00108947
14,114.681,0.55571,0.72505,0.94609,0.95767,0.9167,0.95642,0.79582,0.59898,0.72791,0.99587,0.00106118,0.00106118,0.00106118
15,122.073,0.55338,0.70781,0.95738,0.97401,0.91464,0.97812,0.77989,0.6559,0.77603,1.07976,0.00103288,0.00103288,0.00103288
16,130.34,0.53554,0.68903,0.95449,0.99126,0.97413,0.98652,0.80138,0.59683,0.52589,1.03083,0.00100459,0.00100459,0.00100459
17,136.41,0.52371,0.66303,0.94544,0.98725,0.97619,0.98188,0.79663,0.55482,0.52875,0.98206,0.000976293,0.000976293,0.000976293
18,146.083,0.55199,0.6495,0.95051,0.97908,0.97619,0.9822,0.80002,0.56511,0.51491,0.96296,0.000947999,0.000947999,0.000947999
19,152.421,0.53764,0.63259,0.93731,0.94243,1,0.98722,0.80995,0.52684,0.53172,0.97943,0.000919704,0.000919704,0.000919704
20,160.313,0.53439,0.62958,0.94975,0.91924,0.97619,0.99344,0.83994,0.51485,0.47185,0.95961,0.00089141,0.00089141,0.00089141
21,167.794,0.49721,0.56942,0.92363,0.9721,1,0.995,0.82457,0.5494,0.46704,0.96363,0.000863116,0.000863116,0.000863116
22,173.916,0.48685,0.57087,0.91993,0.95587,1,0.99189,0.8079,0.58132,0.45322,0.96676,0.000834822,0.000834822,0.000834822
23,183.264,0.47256,0.55997,0.90807,0.98759,0.99034,0.995,0.82697,0.53081,0.42093,0.98202,0.000806528,0.000806528,0.000806528
24,189.313,0.48991,0.55733,0.93852,0.96546,0.97619,0.99208,0.81444,0.56995,0.4094,1.01359,0.000778233,0.000778233,0.000778233
25,197.999,0.49122,0.55059,0.92122,0.9845,0.97619,0.99344,0.80818,0.53264,0.38775,0.96171,0.000749939,0.000749939,0.000749939
26,204.606,0.47313,0.53422,0.919,0.9848,0.9531,0.995,0.80596,0.52095,0.46145,0.95852,0.000721645,0.000721645,0.000721645
27,211.12,0.47323,0.50177,0.91785,0.96942,1,0.995,0.77968,0.5249,0.40549,0.95976,0.000693351,0.000693351,0.000693351
28,219.942,0.48604,0.55099,0.93813,0.99012,0.95853,0.995,0.79583,0.51896,0.41474,0.93357,0.000665057,0.000665057,0.000665057
29,225.862,0.45929,0.50957,0.90925,0.9946,0.94216,0.995,0.80692,0.49032,0.40774,0.97031,0.000636762,0.000636762,0.000636762
30,234.807,0.4499,0.503,0.89904,0.98566,1,0.995,0.7855,0.56511,0.39892,0.96085,0.000608468,0.000608468,0.000608468
31,240.826,0.44591,0.47705,0.90131,0.98302,1,0.995,0.82251,0.5259,0.39117,0.9736,0.000580174,0.000580174,0.000580174
32,248.275,0.45376,0.48313,0.90861,0.96979,1,0.995,0.84412,0.47869,0.36466,0.93954,0.00055188,0.00055188,0.00055188
33,255.863,0.43533,0.48293,0.91019,0.97966,1,0.995,0.84104,0.50116,0.36593,0.93278,0.000523586,0.000523586,0.000523586
34,262.075,0.43586,0.46118,0.89986,0.97035,1,0.98878,0.85087,0.48468,0.32931,0.9257,0.000495291,0.000495291,0.000495291
35,271.367,0.43463,0.44699,0.90169,0.96482,1,0.99344,0.85842,0.46081,0.36211,0.91655,0.000466997,0.000466997,0.000466997
36,277.46,0.42204,0.43825,0.89407,0.96531,1,0.995,0.8556,0.48883,0.3516,0.93335,0.000438703,0.000438703,0.000438703
37,285.511,0.42274,0.44272,0.90134,0.95688,0.99872,0.995,0.86341,0.46818,0.34099,0.91344,0.000410409,0.000410409,0.000410409
38,292.702,0.42245,0.43569,0.89771,0.95711,1,0.995,0.83864,0.47773,0.34553,0.91674,0.000382115,0.000382115,0.000382115
39,298.661,0.41001,0.40893,0.89484,0.96835,1,0.995,0.83566,0.48063,0.32197,0.94009,0.00035382,0.00035382,0.00035382
40,308.427,0.40726,0.42293,0.88853,0.98949,1,0.995,0.83667,0.47057,0.31483,0.93046,0.000325526,0.000325526,0.000325526
41,316.73,0.4356,0.55137,0.88289,0.99095,1,0.995,0.80985,0.48125,0.32542,0.93829,0.000297232,0.000297232,0.000297232
42,326.391,0.44401,0.50502,0.88532,0.98627,1,0.995,0.81626,0.51157,0.36815,0.93679,0.000268938,0.000268938,0.000268938
43,332.827,0.43755,0.48413,0.86818,0.96509,1,0.995,0.84742,0.46642,0.3476,0.91268,0.000240644,0.000240644,0.000240644
44,340.325,0.41675,0.45003,0.86166,0.96924,1,0.995,0.8325,0.47668,0.335,0.93633,0.000212349,0.000212349,0.000212349
45,348.143,0.42138,0.43628,0.88662,0.97854,1,0.995,0.83529,0.46156,0.31631,0.93644,0.000184055,0.000184055,0.000184055
46,354.214,0.4098,0.43546,0.87712,0.97113,1,0.995,0.84515,0.44683,0.31383,0.92189,0.000155761,0.000155761,0.000155761
47,363.404,0.40275,0.42598,0.87422,0.968,1,0.995,0.84712,0.45003,0.31312,0.918,0.000127467,0.000127467,0.000127467
48,369.542,0.39991,0.41726,0.86142,0.96523,1,0.99344,0.84581,0.45504,0.30998,0.9191,9.91726e-05,9.91726e-05,9.91726e-05
49,376.48,0.39432,0.42094,0.87004,0.96557,1,0.99344,0.84081,0.45523,0.29298,0.91784,7.08784e-05,7.08784e-05,7.08784e-05
50,384.389,0.39431,0.41237,0.86126,0.9661,1,0.99344,0.83027,0.45207,0.29137,0.91565,4.25842e-05,4.25842e-05,4.25842e-05
